mijiadezhongshifensi	米_家__的_忠____实__粉__丝_
shoujidianliangzhendehenzu	手___机_电___量____真___的_很__足_
manzuyitianshiyong	满__足_一_天___使__用___
xiaoguobangbangdada	效___果__棒___棒___哒_哒_
kuaidihenkuai	快___递_很__快___
diertianxiawujiudaole	第_二_天___下__午_就__到__了_
laorenyongzhehenbucuo	老__人__用___着__很__不_错__
pianzishangjia	骗___子_商____家__
shoujineicunshijiade	手___机_内__存__是__假__的_
dajiaqianwanbuyaomai	大_家__千___万__不_要__买__
sheimaisheichikui	谁___买__谁___吃__亏__
zhenshibianyimeihaohuo	真___是__便___宜_没__好__货__
shoujiwaiguankanqilaixiangdangyouzhigan	手___机_外__观___看__起_来__相____当___有__质__感__
xiangjipaizhaoxiaoguotebiebang	相____机_拍__照___效___果__特_别__棒___
qingxiduhaiyousecaibaohedudouxiangdangbucuo	清___晰_度_还__有__色_彩__饱__和_度_都__相____当___不_错__
suirandengle20tian	虽__然__等___了_20天___
shijianhaishiyoudiantaizhangle	时__间___还__是__有__点___太__长____了_
buguoshoujihaishibijiaomanyide	不_过__手___机_还__是__比_较___满__意_的_
zhegejiagenengzuochulaidegujizhiyouxiaomile	这__个_价__格_能___做__出__来__的_估_计_只__有__小___米_了_
cunchukongjiangenbenmei16g	存__储__空___间___根__本__没__16g
shoujixianshi9gduo	手___机_显___示__9g多__
qizhongxitongzhanyong2gduo	其_中____系_统___占___用___2g多__
xingjiabigao	性___价__比_高__
caozuoliuchang	操__作__流__畅____
manyi	满__意_
fahuosudutaimanle	发_货__速_度_太__慢__了_
zhenshizuile	真___是__醉__了_
chaping	差__评___
01fenfukuande	01分__付_款___的_
dengleshijitian	等___了_十__几_天___
xiaolvzhengao	效___率_真___高__
shuangshierbanyeqiang	双_____十__二_半__夜_抢____
meiqiangdao	没__抢____到__
diertianshangwuqiangdaode	第_二_天___上____午_抢____到__的_
chulefahuosuduyonglebangeyue	除__了_发_货__速_度_用___了_半__个_月__
qitadouok	其_他_都__ok
quanwuxinghaopingo	全___五_星___好__评___哦
qitadoushinijiade	其_他_都__是__你_家__的_
baokuopaizhaozhebumi2	包__括__拍__照___这__部_mi2
haoba	好__吧_
xiaowutongxuefuzemaidongxi	小___吴_同___学__负_责_买__东___西_
wofuzezhepinglun	我_负_责_这__评___论__
meishenme	没__什___么_
jiushihao	就__是__好__
jintianshoudaode	今__天___收___到__的_
gangkaishishiyong	刚___开__始__使__用___
yongzhebucuo	用___着__不_错__
yiqianyongdeyeshixiaomishouji	以_前___用___的_也_是__小___米_手___机_
shoujihaibucuo	手___机_还__不_错__
chongdianchaokuai	充____电___超___快___
laogongshimifen	老__公___是__米_粉__
womaide5	我_买__的_5
geitamaile5s	给__他_买__了_5s
tahenxihuan	他_很__喜_欢___
manyi	满__意_
jiagebijiaoqinmin	价__格_比_较___亲__民__
fahuodenglebangeyue	发_货__等___了_半__个_月__
muqianyongzhehaibijiaoshunchang	目_前___用___着__还__比_较___顺___畅____
meiyoukakedeqingkuang	没__有__卡_壳_的_情___况____
ruguoqianmianhehoumianyigeyansejiugenghaole	如_果__前___面___和_后__面___一_个_颜__色_就__更___好__了_
zuoweigeibabamaide	作__为__给__爸_爸_买__的_
haixing	还__行___
nengmanzushiyong	能___满__足_使__用___
jiushidengfahuoshijiantaizhangle	就__是__等___发_货__时__间___太__长____了_
banglaobamaide	帮___老__爸_买__的_
denglekuaiershitianzhongyudaohuole	等___了_快___二_十__天___终____于_到__货__了_
zhegejiagemaidepeizhihaibucuo	这__个_价__格_买__的_配__置__还__不_错__
laobagouyongle	老__爸_够__用___了_
zhiliangbucuo	质__量____不_错__
jiushishoujiyindianliangbuxing	就__是__手___机_因__电___量____不_行___
ganjuedianchibushitebiedenaiyong	感__觉__电___池__不_是__特_别__的_耐__用___
xiwangyihoujixunuliba	希_望___以_后__继_续_努_力_吧_
zuogongfangmianbucuo	做__工___方___面___不_错__
buxianghongmi	不_像____红___米_
zaizhegejiaweishangxingjiabihengao	在__这__个_价__位__上____性___价__比_很__高__
zhishiheibiankuangbijiaoda	只__是__黑__边___框____比_较___大_
wifiyibanban	wifi一_般__般__
haixing	还__行___
zhishibuzhidaoshenmeyuanyinyoushihoulaidiandeshihoujiebuledianhua	只__是__不_知__道__什___么_原___因__有__时__候__来__电___的_时__候__接__不_了_电___话__
huabudong	滑__不_动___
bangbierenmaide	帮___别__人__买__的_
wozijibuhuigoumaixiaomide	我_自_己_不_会__购__买__小___米_的_
duaihuawei	独_爱_华__为__
xiaomitaimanle	小___米_太__慢__了_
xihuan	喜_欢___
mifen	米_粉__
shoujihenpiaoliang	手___机_很__漂___亮____
suduyehao	速_度_也_好__
jiushipingmushihudude	就__是__屏___幕_是__弧_度_的_
buhaotieganghuamo	不_好__贴__钢___化__膜_
ganghuamoyemeiyouguanfangde	钢___化__膜_也_没__有__官___方___的_
xinghaoguanfangyouputongmo	幸___好__官___方___有__普_通___膜_
yehenbucuo	也_很__不_错__
henfutie	很__服_帖__
shoujiyongqilaihenhao	手___机_用___起_来__很__好__
shoujibucuohenpiaoliang	手___机_不_错__很__漂___亮____
jiushixingjiabihengao	就__是__性___价__比_很__高__
nandaochengbenhendi	难__道__成____本__很__低_
shoudaole	收___到__了_
shoujishimeiwentideyizhizhichixiaomi	手___机_是__没__问__题_的_一_直__支__持__小___米_
benren	本__人__
jiaren	家__人__
pengyoujitongshidoutuijianmaixiaomi	朋___友__及_同___事__都__推__荐___买__小___米_
zaiguanfangpaixiaomi	在__官___方___拍__小___米_
fahuokuai	发_货__快___
wuliukuai	物_流__快___
keshizhecizaitianmaopaihaoduotianleyidianxiaoxidoumeiyou	可_是__这__次_在__天___猫__拍__好__多__天___了_一_点___消___息_都__没__有__
xunwenkefuduocihuidadehanhuqici	询__问__客_服_多__次_回__答_的_含__糊_其_辞_
qishimaijiageiluoxialegenbenmeiyoufahuo	其_实__卖__家__给__落__下__了_根__本__没__有__发_货__
zhuilehaojicicaianpaifahuo	追___了_好__几_次_才__安_排__发_货__
banglaomaqiangde	帮___老__妈_抢____的_
mamahenxihuan	妈_妈_很__喜_欢___
yizhishuohao	一_直__说___好__
tinghaoyongde	挺___好__用___的_
daxiaoyeheshi	大_小___也_合_适__
paizhaohaibucuo	拍__照___还__不_错__
zhiwenshibieyekuai	指__纹__识__别__也_快___
xitongyehao	系_统___也_好__
zhichiyixia	支__持__一_下__
songgeipopode	送___给__婆_婆_的_
haibucuo	还__不_错__
zhuyaobianyi	主__要__便___宜_
shoujishoudaole	手___机_收___到__了_
genguanfangdeyiyang	跟__官___方___的_一_样___
erqiewuliuchaokuai	而_且__物_流__超___快___
taiduhao	态__度_好__
gei5xing	给__5星___
zhiwenshibieyekeyi	指__纹__识__别__也_可_以_
jiaozhunque	较___准___确__
jiushiyikaijiyaoxianshoudongjiesuohou	就__是__一_开__机_要__先___手___动___解__锁__后__
zhiwencainengyong	指__纹__才__能___用___
paizhaoqingxi	拍__照___清___晰_
pingmuhenda	屏___幕_很__大_
qingchu	清___楚__
haishixihuanxiaodiandepingmu	还__是__喜_欢___小___点___的_屏___幕_
taidabuhaona	太__大_不_好__拿_
chongdianyaotingjiude	充____电___要__挺___久__的_
haodiansuduyehaixing	耗__电___速_度_也_还__行___
buzenmewanshoujilehua	不_怎__么_玩__手___机_了_话__
chongyicidian	充____一_次_电___
gujinengyong5tian	估_计_能___用___5天___
yonglejitian	用___了_几_天___
neicunyunxingshi1g	内__存__运__行___时__1g
chucundayue6g	储__存__大_约__6g
wuliuhaokuai	物_流__好__快___
fahuobukuai	发_货__不_快___
youdeshihouhuika	有__的_时__候__会__卡_
zenmenongdoumeifanying	怎__么_弄___都__没__反__应___
bukechaidianchi	不_可_拆___电___池__
ganjuebuhao	感__觉__不_好__
shouganbucuo	手___感__不_错__
jiushihualexie	就__是__滑__了_些__
zongtishangshibucuode	总___体_上____是__不_错__的_
xiaomiyijianhuanjiyebucuo	小___米_一_键___换___机_也_不_错__
ganjuehaikeyi	感__觉__还__可_以_
youliangdianfeichangbushufudedefang	有__两____点___非__常____不_舒__服_的_地_方___
zidongliangdubuzidong	自_动___亮____度_不_自_动___
youshifeichangan	有__时__非__常____暗_
youshiyoufeichangliang	有__时__又__非__常____亮____
jietingdianhuaduifangbantiantingbudaoshengyin	接__听___电___话__对__方___半__天___听___不_到__声____音__
xuyaodengdaijimiao	需_要__等___待__几_秒___
kefukandaohoushuomingxia	客_服_看__到__后__说___明___下__
youdiankaba	有__点___卡_吧_
lingwaishuogeyoudian499dejiage	另___外__说___个_优__点___499的_价__格_
shichangkantaobao	时__常____看__淘__宝__
nengwan2tian	能___玩__2天___
chulefahuosudu	除__了_发_货__速_度_
quanhaopinga	全___好__评___啊
denglekuai20tianle	等___了_快___20天___了_
shoujizaowanle	手___机_早__玩__了_
jiuweilekouqirangxitongzidongshouhuo	就__为__了_口__气_让___系_统___自_动___收___货__
zhendezenmetuzaodoubujuededuo	真___的_怎__么_吐_糟__都__不_觉__得_多__
shoujitinghaode	手___机_挺___好__的_
jiushifahuobijiaoman	就__是__发_货__比_较___慢__
zongtilaishuohaishitingxihuande	总___体_来__说___还__是__挺___喜_欢___的_
shuang12maide	双_____12买__的_
fahuochaoman	发_货__超___慢__
chabuduobangeyuecaikaishifahuo	差__不_多__半__个_月__才__开__始__发_货__
maihuilaikaibuleji	买__回__来__开__不_了_机_
geile30kuaishoujidiandexiuliyuanbangmangkai	给__了_30块___手___机_店___的_修__理_员___帮___忙___开__
shenqingtui30yuan	申___请___退__30元___
beijujuele	被__拒_绝__了_
henbuyukuaideyicigouwu	很__不_愉_快___的_一_次_购__物_
buguohaishixiguanhaoping	不_过__还__是__习_惯___好__评___
shuangshierqianggoude	双_____十__二_抢____购__的_
bangeyuecainadaoshou	半__个_月__才__拿_到__手___
wuyousuozhi	物_有__所__值__
waiguandaqi	外__观___大_气_
yanzhigao	颜__值__高__
yunxingliuchang	运__行___流__畅____
yudingdeshoujihezaishitidianmaidetongkuanjixingqianzhishexiangtouqubietaidale	预_定___的_手___机_和_在__实__体_店___买__的_同___款___机_型___前___置__摄__像____头__区_别__太__大_了_
wodingdezhebushoujiqianzhizipaigongnengmeiyoumeiyanxiaoguo	我_订___的_这__部_手___机_前___置__自_拍__功___能___沒__有__美__颜__效___果__
wunengzenmediaodoushitongzongfuse	无_能___怎__么_调___都__是__铜___棕___肤_色_
wozhebushoujiqianzhishexiangtoucanleshuifen	我_这__部_手___机_前___置__摄__像____头__参__了_水___份__
houzhishexiangtoudabiao	后__置__摄__像____头__达_标___
paizhaokeyi	拍__照___可_以_
dianpumeicizixundoushijiqirenhuida	店___铺_每__次_咨_询__都__是__机_器_人__回__答_
rengongbuhaozhao	人__工___不_好__找___
qitagongnengzhengchang	其_它_功___能___正____常____
yongzhehaibucuoba	用___着__还__不_错__吧_
mailaisongmamade	买__来__送___妈_妈_的_
zijihaimeikandao	自_己_还__没__看__到__
kefumeiyouyidianzerenxin	客_服_没__有__一_点___责_任__心__
fagehuofaleyigexingqi	发_个_货__发_了_一_个_星___期_
bucuoya	不_错__呀_
jiushiemsyoudianman	就__是__ems有__点___慢__
suoniimx378guoranshisuonizuihaodeshoujixiangjichuanganqi	索__尼_imx378果__然__是__索__尼_最__好__的_手___机_相____机_传____感__器_
yepaifeichanghao	夜_拍__非__常____好__
miuiyehenbucuo	miui也_很__不_错__
jiushiyouyixieguanggao	就__是__有__一_些__广____告__
danshinengguanbi	但__是__能___关___闭_
womaideshiyaguanghuidebiankuanghenzhai	我_买__的_是__哑_光____灰__的_边___框____很__窄___
wogerenjuedewaiguanhenzan	我_个_人__觉__得_外__观___很__赞__
zongzhishoujibucuo	总___之__手___机_不_错__
5dbolipingbuhaotiemo	5d玻_璃_屏___不_好__贴__膜_
juedeshoujihaishibutiemoshouganhaoyixie	觉__得_手___机_还__是__补_贴__膜_手___感__好__一_些__
dongxihaikeyi	东___西_还__可_以_
suduhenmanyi	速_度_很__满__意_
zhegeliwu	这__个_礼_物_
daoshouhouganjuezhendetebiehao	到__手___后__感__觉__真___的_特_别__好__
youliangtaixiaomiledoushi2nianduoxiehuihuanzhenghaomaile1	有__两____台__小___米_了_都__是__2年___多__些__会__换___正____好__买__了_1
3	3
5s	5s
xiwangnengxiangyiqianyiyangpeiwo2nian	希_望___能___像____以_前___一_样___陪__我_2年___
anjianguashou	按_键___刮__手___
zhiwenbutaihao	指__纹__不_太__好__
ganjuebihuaweizuogongchahaoduo	感__觉__比_华__为__做__工___差__好__多__
xingnengmeideshuo	性___能___沒__的_说___
bunengkanbeimian	不_能___看__背__面___
zhekuanxingjiabiyebushitaigao	这__款___性___价__比_也_不_是__太__高__
kanxingnengmaideshouji	看__性___能___买__的_手___机_
shouganbucuo	手___感__不_错__
yunxingsuduyekuai	运__行___速_度_也_快___
zhiwenjiesuobixushoufangzhenglecaixing	指__纹__解__锁__必_须_手___放___正____了_才__行___
zhichixiaomi	支__持__小___米_
zhichiguochan	支__持__国__产___
zhengtihaixing	整____体_还__行___
xingjiabigao	性___价__比_高__
pingda	屏___大_
kanshipinbucuo	看__视__频__不_错__
pingmuhenda	屏___幕_很__大_
chaobaopiaoliang	超___薄__漂___亮____
yongzheganjuebucuo	用___着__感__觉__不_错__
feichangxihuan	非__常____喜_欢___
buzenmewanyouxi	不_怎__么_玩__游__戏_
suoyidianchinaiyong	所__以_电___池__耐__用___
caozuomeiyoukadun	操__作__没__有__卡_顿__
tonghuayinzhiqingchu	通___话__音__质__清___楚__
128gzhaopiankecunhenduo	128g照___片___可_存__很__多__
xihuan	喜_欢___
xinshoujipingmubuliang	新__手___机_屏___幕_不_亮____
rangzijinaqujiance	让___自_己_拿_去_检___测_
kaigainonglebantian	开__盖__弄___了_半__天___
shuojiechubuliang	说___接__触__不_良____
youceshilesantiancainahuilai	有__测_试__了_三__天___才__拿_回__来__
yongleyitianhaikeyi	用___了_一_天___还__可_以_
shoujijingguojitiandeshiyong	手___机_经___过__几_天___的_试__用___
feichangmanyi	非__常____满__意_
xiangxinyihoudeshiyongnengzhengchang	相____信__以_后__的_使__用___能___正____常____
yizhidouzaiyongxiaomishouji	一_直__都__在__用___小___米_手___机_
xingjiabijueduidegao	性___价__比_绝__对__的_高__
zhiliangyehenwending	质__量____也_很__稳__定___
zhichiguohuo	支__持__国__货__
meimaobing	没__毛__病___
jiqihaixing	机_器_还__行___
benlaiyiweishixianhuo	本__来__以_为__是__现___货__
goumaiyemianwanquanmeitishi	购__买__页_面___完__全___没__提_示__
baobeixiangqingliyigefeichangbuqiyandetishi7tianfahuo	宝__贝__详____情___里_一_个_非__常____不_起_眼__的_提_示__7天___发_货__
zhennimuqinshitaolu	真___你_母_亲__是__套__路_
erqieguanjianshifashunfeng4tiancaidao	而_且__关___键___是__发_顺___丰___4天___才__到__
kefuyeshigenzhashiyiyang	客_服_也_是__跟__诈__尸__一_样___
jitianbuhuiyijuhua	几_天___不_回__一_句_话__
zhegoumaitiyanzhenshibilegoule	这__购__买__体_验__真___是__哔_了_狗__了_
shoujishouganhenhao	手___机_手___感__很__好__
xingnengqiangda	性___能___强____大_
shixiaomizhongdiduankexinrendeyikuanshouji	是__小___米_中____低_端___可_信__任__的_一_款___手___机_
haoping	好__评___
bangxiaoyimaide	帮___小___姨_买__的_
xiaoyishuohenhaoyong	小___姨_说___很__好__用___
shoujishaofatang	手___机_稍___发_烫___
zuiguanjianshikefuyuwuliuzhenxinkengdie	最__关___键___是__客_服_与_物_流__真___心__坑___爹__
1gelibaicaifahuo	1个_礼_拜__才__发_货__
hongmiduiyuputongyonghulaishuo	红___米_对__于_普_通___用___户_来__说___
gouyongliangnianle	够__用___两____年___了_
danwentishinixianzaiyoujiangjiale	但__问__题_是__你_现___在__又__降____价__了_
jiaoworuheshihao	叫___我_如_何_是__好__
haixing	还__行___
yongyongzaishuo	用___用___再__说___
shoujimeihuashuo	手___机_没__话__说___
jieyingxiaofeichangexin	饥_饿营___销___非__常____恶心__
chizaobazijiwansi	迟__早__把_自_己_玩__死_
shoujikanshikeyi	手___机_看__似__可_以_
haoyong	好__用___
jiushihaodiantailihai	就__是__耗__电___太__厉_害__
doumeiyunxingshenme	都__没__运__行___什___么_
dianliangshuashuawangxiadiao	电___量____唰___唰___往___下__掉___
wuyu	无_语_
wuliuhenkuai	物_流__很__快___
shoujihenhaokan	手___机_很__好__看__
feichangbucuo	非__常____不_错__
yonglejitianfeichanggeili	用___了_几_天___非__常____给__力_
yunxingsudubi2000duodeshoujiyekuai	运__行___速_度_比_2000多__的_手___机_也_快___
tuijian	推__荐___
shoujigeididimaide	手___机_给__弟_弟_买__的_
woyemeikandao	我_也_没__看__到__
jushuohengaodashang	据_说___很__高__大_尚____
shoujikeyide	手___机_可_以_的_
meiwenti	没__问__题_
jiushiwuliuman	就__是__物_流__慢__
shoujishoudaole	手___机_收___到__了_
tinghaoyongde	挺___好__用___的_
jiushifahuowuliutaimantaimanle	就__是__发_货__物_流__太__慢__太__慢__了_
pingmupianhuang	屏___幕_偏___黄____
ranhoupingmuyoutuoying	然__后__屏___幕_有__拖__影___
geirenganjuebushuang	给__人__感__觉__不_爽_____
buguozuogongbishangyidaiyoujinbu	不_过__做__工___比_上____一_代__有__进__步_
danshipingmusuzhifangmianqueshidaotuile	但__是__屏___幕_素_质__方___面___却__是__倒__退__了_
geigejigefenba	给__个_及_格_分__吧_
bangbierenmaide	帮___别__人__买__的_
meijianzheshiwu	没__见___着__实__物_
geigehaopingba	给__个_好__评___吧_
budadong	不_大_懂___
danshixiangeigehaopingba	但__是__先___给__个_好__评___吧_
yizhixihuanyongxiaomi	一_直__喜_欢___用___小___米_
bucuo	不_错__
xiwangzhegeyirujiwangdehao	希_望___这__个_一_如_既_往___地_好__
zhichiguochan	支__持__国__产___
jianjuebuzuomaiguozei	坚___决__不_做__卖__国__贼__
buzuogouhanjian	不_做__狗__汉__jian
fuwutaiducha	服_务_态__度_差__
shoujihelibianmeiyouerji	手___机_盒_里_边___没__有__耳_机_
zheciwanggouhenbukaixin	这__次_网___购__很__不_开__心__
bucuo	不_错__
caidaoshou	才__到__手___
weishenmo899lene	为__什___么_899了_呢_
zhengtimanyi	整____体_满__意_
yizhiyongxiaomi	一_直__用___小___米_
zheshidi3bu	这__是__第_3部_
shoujihenhao	手___机_很__好__
wangsuhenkuai	网___速_很__快___
henhaoyong	很__好__用___
zaiqianyuanjilijiujielehaojiu	在__千___元___机_里_纠__结__了_好__久__
gegegeiwojieshaode	哥_哥_给__我_介__绍___的_
tebiehaoyong	特_别__好__用___
jishenhenpiaoliang	机_身___很__漂___亮____
xiazailehaoduoyouxidoubuka	下__载__了_好__多__游__戏_都__不_卡_
wohenxihuan	我_很__喜_欢___
dengyihouhuanxiaomi	等___以_后__换___小___米_
shoujibucuo	手___机_不_错__
kuaidilanledian	快___递_烂__了_点___
6haofa	6号__发_
9haocaishoudao	9号__才__收___到__
heziyoudianyadao	盒_子_有__点___压_到__
songrenganjuebushuang	送___人__感__觉__不_爽_____
chapingchapingzaiwangshangmaidongxizuichadeyicifahuobiwoniuhaiman	差__评___差__评___在__网___上____买__东___西_最__差__的_一_次_发_货__比_蜗_牛__还__慢__
wozaibeijingfalianggebingguifadewuliu4tianjiudaole	我_在__北__京___发_两____个_冰___柜__发_的_物_流__4天___就__到__了_
nizhefakuaidi14tiancaidao	你_这__发_快___递_14天___才__到__
chaikaikanlimianshuomingshudoumeiyouzhaokefushuozhiyoudianzibandeyaozijixiazai	拆___开__看__里_面___说___明___书__都__没__有__找___客_服_说___只__有__电___子_版__的_要__自_己_下__载__
woyeshizuileshoujiyebuquedingshibushizhengban	我_也_是__醉__了_手___机_也_不_确__定___是__不_是__正____版__
laogongshuoshoujihenbucuo	老__公___说___手___机_很__不_错__
xingjiabihengaoo	性___价__比_很__高__哦
geilaogongmaide	给__老__公___买__的_
douyongleyiduanshijianle	都__用___了_一_段___时__间___了_
laoshiwanglepingjia	老__是__忘___了_评___价__
meihuo	没__货__
wohehe	我_呵_呵_
xiaomizheshizuihouyibule	小___米_这__是__最__后__一_部_了_
zhenshiqiren	真___是__气_人__
meihuonibiefabua	没__活__你_别__发_布_啊
chaoaixiaomi	超___爱_小___米_
hongminoto4yongqilaifeichangliuchang	红___米_noto4用___起_来__非__常____流__畅____
bukadun	不_卡_顿__
yiban	一_般__
putong	普_通___
haozaimaigeilaorenjiayongde	好__在__买__给__老__人__家__用___的_
youqingxilingshengjiuxingle	有__清___晰_铃___声____就__行___了_
laorenjiashiyong	老__人__家__使__用___
daijiliangtian	待__机_两____天___
xuanbaisemianbandehua	选___白__色_面___板__的_话__
pingmuheibianbiqitashoujilihaiyidian	屏___幕_黑__边___比_其_他_手___机_厉_害__一_点___
jiaohao	较___好__
canburendu	惨__不_忍__睹_
waifangshizhijiepoyin	外__放___时__直__接__破_音__
jizihenpiaoliang	机_子_很__漂___亮____
bixiangxiangzhonghaokan	比_想____象____中____好__看__
yanseyemeiyouhenciyan	颜__色_也_没__有__很__刺_眼__
zhegejinsehenpiaoliang	这__个_金__色_很__漂___亮____
yunxinghaikeyi	运__行___还__可_以_
jiushishengxiayejiu1gduo	就__是__剩____下__也_就__1g多__
shoujidouzhemaobing	手___机_都__这__毛__病___
shuodetingduo	说___的_挺___多__
shijiyunxingneicunyijingmeiduoshaole	实__际_运__行___内__存__已_经___没__多__少___了_
shoujihenhaoyong	手___机_很__好__用___
kuaidihengeili	快___递_很__给__力_
wufenhaoping	五_分__好__评___
shoujibucuo	手___机_不_错__
fahuotaiman	发_货__太__慢__
wuliuwosu	物_流__蜗_速_
xiaoyiyongde	小___姨_用___的_
wozijijibenyongxiaomixilie	我_自_己_基_本__用___小___米_系_列__
quanjiamifen	全___家__米_粉__
499dejiagehenliangxinle	499的_价__格_很__良____心__了_
shouganbijingmeiyouwodexiaomi4	手___感__毕_竟___没__有__我_的_小___米_4
hongminote32	红___米_note32
note4	note4
hongmipro	红___米_pro
hongmi4	红___米_4
xiaomi5shouganhao	小___米_5手___感__好__
keshiayiyebuxiangmaiduohaode	可_是__阿姨_也_不_想____买__多__好__的_
xiaoqiao	小___巧___
pianyi	便___宜_
zhiyouhongmi4ale	只__有__红___米_4a了_
biewutaxuan	别__无_他_选___
jianyihaishijia300maihongmi4haofeichangduo	建___议_还__是__加__300买__红___米_4好__非__常____多__
zaiduoyidianmaiqitadegenghaole	再__多__一_点___买__其_他_的_更___好__了_
shuang12wohuanlehongminote4	双_____12我_换___了_红___米_note4
zuiaixiaomi4beiwobaofeile	最__爱_小___米_4被__我_报__废__了_
zhenxinhaoyong	真___心__好__用___
lianda4bawangzhenongyao	连___打_4把_王___者__农___药__
