mijiadezhongshifensi	米_家__的_忠____实__粉__丝_
shoujidianliangzhendehenzu	手___机_电___量____真___的_很__足_
manzuyitianshiyong	满__足_一_天___使__用___
xiaoguobangbangdada	效___果__棒___棒___哒_哒_
kuaidihenkuai	快___递_很__快___
diertianxiawujiudaole	第_二_天___下__午_就__到__了_
laorenyongzhehenbucuo	老__人__用___着__很__不_错__
pianzishangjia	骗___子_商____家__
shoujineicunshijiade	手___机_内__存__是__假__的_
dajiaqianwanbuyaomai	大_家__千___万__不_要__买__
sheimaisheichikui	谁___买__谁___吃__亏__
zhenshibianyimeihaohuo	真___是__便___宜_没__好__货__
shoujiwaiguankanqilaixiangdangyouzhigan	手___机_外__观___看__起_来__相____当___有__质__感__
xiangjipaizhaoxiaoguotebiebang	相____机_拍__照___效___果__特_别__棒___
qingxiduhaiyousecaibaohedudouxiangdangbucuo	清___晰_度_还__有__色_彩__饱__和_度_都__相____当___不_错__
suirandengle20tian	虽__然__等___了_20天___
shijianhaishiyoudiantaizhangle	时__间___还__是__有__点___太__长____了_
buguoshoujihaishibijiaomanyide	不_过__手___机_还__是__比_较___满__意_的_
zhegejiagenengzuochulaidegujizhiyouxiaomile	这__个_价__格_能___做__出__来__的_估_计_只__有__小___米_了_
cunchukongjiangenbenmei16g	存__储__空___间___根__本__没__16g
shoujixianshi9gduo	手___机_显___示__9g多__
qizhongxitongzhanyong2gduo	其_中____系_统___占___用___2g多__
xingjiabigao	性___价__比_高__
caozuoliuchang	操__作__流__畅____
manyi	满__意_
fahuosudutaimanle	发_货__速_度_太__慢__了_
zhenshizuile	真___是__醉__了_
chaping	差__评___
01fenfukuande	01分__付_款___的_
dengleshijitian	等___了_十__几_天___
xiaolvzhengao	效___率_真___高__
shuangshierbanyeqiang	双_____十__二_半__夜_抢____
meiqiangdao	没__抢____到__
diertianshangwuqiangdaode	第_二_天___上____午_抢____到__的_
chulefahuosuduyonglebangeyue	除__了_发_货__速_度_用___了_半__个_月__
qitadouok	其_他_都__ok
quanwuxinghaopingo	全___五_星___好__评___哦
qitadoushinijiade	其_他_都__是__你_家__的_
baokuopaizhaozhebumi2	包__括__拍__照___这__部_mi2
haoba	好__吧_
xiaowutongxuefuzemaidongxi	小___吴_同___学__负_责_买__东___西_
wofuzezhepinglun	我_负_责_这__评___论__
meishenme	没__什___么_
jiushihao	就__是__好__
jintianshoudaode	今__天___收___到__的_
gangkaishishiyong	刚___开__始__使__用___
yongzhebucuo	用___着__不_错__
yiqianyongdeyeshixiaomishouji	以_前___用___的_也_是__小___米_手___机_
shoujihaibucuo	手___机_还__不_错__
chongdianchaokuai	充____电___超___快___
laogongshimifen	老__公___是__米_粉__
womaide5	我_买__的_5
geitamaile5s	给__他_买__了_5s
tahenxihuan	他_很__喜_欢___
manyi	满__意_
jiagebijiaoqinmin	价__格_比_较___亲__民__
fahuodenglebangeyue	发_货__等___了_半__个_月__
muqianyongzhehaibijiaoshunchang	目_前___用___着__还__比_较___顺___畅____
meiyoukakedeqingkuang	没__有__卡_壳_的_情___况____
ruguoqianmianhehoumianyigeyansejiugenghaole	如_果__前___面___和_后__面___一_个_颜__色_就__更___好__了_
zuoweigeibabamaide	作__为__给__爸_爸_买__的_
haixing	还__行___
nengmanzushiyong	能___满__足_使__用___
jiushidengfahuoshijiantaizhangle	就__是__等___发_货__时__间___太__长____了_
banglaobamaide	帮___老__爸_买__的_
denglekuaiershitianzhongyudaohuole	等___了_快___二_十__天___终____于_到__货__了_
zhegejiagemaidepeizhihaibucuo	这__个_价__格_买__的_配__置__还__不_错__
laobagouyongle	老__爸_够__用___了_
zhiliangbucuo	质__量____不_错__
jiushishoujiyindianliangbuxing	就__是__手___机_因__电___量____不_行___
ganjuedianchibushitebiedenaiyong	感__觉__电___池__不_是__特_别__的_耐__用___
xiwangyihoujixunuliba	希_望___以_后__继_续_努_力_吧_
zuogongfangmianbucuo	做__工___方___面___不_错__
buxianghongmi	不_像____红___米_
zaizhegejiaweishangxingjiabihengao	在__这__个_价__位__上____性___价__比_很__高__
zhishiheibiankuangbijiaoda	只__是__黑__边___框____比_较___大_
wifiyibanban	wifi一_般__般__
haixing	还__行___
zhishibuzhidaoshenmeyuanyinyoushihoulaidiandeshihoujiebuledianhua	只__是__不_知__道__什___么_原___因__有__时__候__来__电___的_时__候__接__不_了_电___话__
huabudong	滑__不_动___
bangbierenmaide	帮___别__人__买__的_
wozijibuhuigoumaixiaomide	我_自_己_不_会__购__买__小___米_的_
duaihuawei	独_爱_华__为__
xiaomitaimanle	小___米_太__慢__了_
xihuan	喜_欢___
mifen	米_粉__
shoujihenpiaoliang	手___机_很__漂___亮____
suduyehao	速_度_也_好__
jiushipingmushihudude	就__是__屏___幕_是__弧_度_的_
buhaotieganghuamo	不_好__贴__钢___化__膜_
ganghuamoyemeiyouguanfangde	钢___化__膜_也_没__有__官___方___的_
xinghaoguanfangyouputongmo	幸___好__官___方___有__普_通___膜_
yehenbucuo	也_很__不_错__
henfutie	很__服_帖__
shoujiyongqilaihenhao	手___机_用___起_来__很__好__
shoujibucuohenpiaoliang	手___机_不_错__很__漂___亮____
jiushixingjiabihengao	就__是__性___价__比_很__高__
nandaochengbenhendi	难__道__成____本__很__低_
shoudaole	收___到__了_
shoujishimeiwentideyizhizhichixiaomi	手___机_是__没__问__题_的_一_直__支__持__小___米_
benren	本__人__
jiaren	家__人__
pengyoujitongshidoutuijianmaixiaomi	朋___友__及_同___事__都__推__荐___买__小___米_
zaiguanfangpaixiaomi	在__官___方___拍__小___米_
fahuokuai	发_货__快___
wuliukuai	物_流__快___
keshizhecizaitianmaopaihaoduotianleyidianxiaoxidoumeiyou	可_是__这__次_在__天___猫__拍__好__多__天___了_一_点___消___息_都__没__有__
xunwenkefuduocihuidadehanhuqici	询__问__客_服_多__次_回__答_的_含__糊_其_辞_
qishimaijiageiluoxialegenbenmeiyoufahuo	其_实__卖__家__给__落__下__了_根__本__没__有__发_货__
zhuilehaojicicaianpaifahuo	追___了_好__几_次_才__安_排__发_货__
banglaomaqiangde	帮___老__妈_抢____的_
mamahenxihuan	妈_妈_很__喜_欢___
yizhishuohao	一_直__说___好__
tinghaoyongde	挺___好__用___的_
daxiaoyeheshi	大_小___也_合_适__
paizhaohaibucuo	拍__照___还__不_错__
zhiwenshibieyekuai	指__纹__识__别__也_快___
xitongyehao	系_统___也_好__
zhichiyixia	支__持__一_下__
songgeipopode	送___给__婆_婆_的_
haibucuo	还__不_错__
zhuyaobianyi	主__要__便___宜_
shoujishoudaole	手___机_收___到__了_
genguanfangdeyiyang	跟__官___方___的_一_样___
erqiewuliuchaokuai	而_且__物_流__超___快___
taiduhao	态__度_好__
gei5xing	给__5星___
zhiwenshibieyekeyi	指__纹__识__别__也_可_以_
jiaozhunque	较___准___确__
jiushiyikaijiyaoxianshoudongjiesuohou	就__是__一_开__机_要__先___手___动___解__锁__后__
zhiwencainengyong	指__纹__才__能___用___
paizhaoqingxi	拍__照___清___晰_
pingmuhenda	屏___幕_很__大_
qingchu	清___楚__
haishixihuanxiaodiandepingmu	还__是__喜_欢___小___点___的_屏___幕_
taidabuhaona	太__大_不_好__拿_
chongdianyaotingjiude	充____电___要__挺___久__的_
haodiansuduyehaixing	耗__电___速_度_也_还__行___
buzenmewanshoujilehua	不_怎__么_玩__手___机_了_话__
chongyicidian	充____一_次_电___
gujinengyong5tian	估_计_能___用___5天___
yonglejitian	用___了_几_天___
neicunyunxingshi1g	内__存__运__行___时__1g
chucundayue6g	储__存__大_约__6g
wuliuhaokuai	物_流__好__快___
fahuobukuai	发_货__不_快___
youdeshihouhuika	有__的_时__候__会__卡_
zenmenongdoumeifanying	怎__么_弄___都__没__反__应___
bukechaidianchi	不_可_拆___电___池__
ganjuebuhao	感__觉__不_好__
shouganbucuo	手___感__不_错__
jiushihualexie	就__是__滑__了_些__
zongtishangshibucuode	总___体_上____是__不_错__的_
xiaomiyijianhuanjiyebucuo	小___米_一_键___换___机_也_不_错__
ganjuehaikeyi	感__觉__还__可_以_
youliangdianfeichangbushufudedefang	有__两____点___非__常____不_舒__服_的_地_方___
zidongliangdubuzidong	自_动___亮____度_不_自_动___
youshifeichangan	有__时__非__常____暗_
youshiyoufeichangliang	有__时__又__非__常____亮____
jietingdianhuaduifangbantiantingbudaoshengyin	接__听___电___话__对__方___半__天___听___不_到__声____音__
xuyaodengdaijimiao	需_要__等___待__几_秒___
kefukandaohoushuomingxia	客_服_看__到__后__说___明___下__
youdiankaba	有__点___卡_吧_
lingwaishuogeyoudian499dejiage	另___外__说___个_优__点___499的_价__格_
shichangkantaobao	时__常____看__淘__宝__
nengwan2tian	能___玩__2天___
chulefahuosudu	除__了_发_货__速_度_
quanhaopinga	全___好__评___啊
denglekuai20tianle	等___了_快___20天___了_
shoujizaowanle	手___机_早__玩__了_
jiuweilekouqirangxitongzidongshouhuo	就__为__了_口__气_让___系_统___自_动___收___货__
zhendezenmetuzaodoubujuededuo	真___的_怎__么_吐_糟__都__不_觉__得_多__
shoujitinghaode	手___机_挺___好__的_
jiushifahuobijiaoman	就__是__发_货__比_较___慢__
zongtilaishuohaishitingxihuande	总___体_来__说___还__是__挺___喜_欢___的_
